fecha,dato
2010-08-13,12.7256
2010-08-16,12.6458
2010-08-17,12.5944
2010-08-18,12.6073
2010-08-19,12.7226
2010-08-20,12.7683
2010-08-23,12.8492
2010-08-24,12.936
2010-08-25,13.0453
2010-08-26,12.984
2010-08-27,13.0148
2010-08-30,13.1367
2010-08-31,13.1676
2010-09-01,13.0538
2010-09-02,13.055
2010-09-03,12.9526
2010-09-06,12.9395
2010-09-07,13.0566
2010-09-08,13.0034
2010-09-09,12.9853
2010-09-10,12.9616
2010-09-13,12.8729
2010-09-14,12.8355
2010-09-15,12.7793
2010-09-20,12.7623
2010-09-21,12.7594
2010-09-22,12.6886
2010-09-23,12.6422
2010-09-24,12.5491
2010-09-27,12.5168
2010-09-28,12.5011
2010-09-29,12.4801
2010-09-30,12.5998
2010-10-01,12.5511
2010-10-04,12.5875
2010-10-05,12.5099
2010-10-06,12.4779
2010-10-07,12.5277
2010-10-08,12.4895
2010-10-11,12.4224
2010-10-12,12.432
2010-10-13,12.3683
2010-10-14,12.4101
2010-10-15,12.4276
2010-10-18,12.4135
2010-10-19,12.4818
2010-10-20,12.4117
2010-10-21,12.3613
2010-10-22,12.3877
2010-10-25,12.3205
2010-10-26,12.3859
2010-10-27,12.4776
2010-10-28,12.4023
2010-10-29,12.3387
2010-11-01,12.3452
2010-11-03,12.3041
2010-11-04,12.2381
2010-11-05,12.2055
2010-11-08,12.2483
2010-11-09,12.2068
2010-11-10,12.2714
2010-11-11,12.2596
2010-11-12,12.2626
2010-11-16,12.4353
2010-11-17,12.3783
2010-11-18,12.2924
2010-11-19,12.2996
2010-11-22,12.309
2010-11-23,12.4577
2010-11-24,12.3912
2010-11-25,12.3669
2010-11-26,12.489
2010-11-29,12.5538
2010-11-30,12.4664
2010-12-01,12.3967
2010-12-02,12.3546
2010-12-03,12.3597
2010-12-06,12.3884
2010-12-07,12.4123
2010-12-08,12.4484
2010-12-09,12.4586
2010-12-10,12.4617
2010-12-13,12.3869
2010-12-14,12.3703
2010-12-15,12.3963
2010-12-16,12.4505
2010-12-17,12.4345
2010-12-20,12.417
2010-12-21,12.372
2010-12-22,12.3379
2010-12-23,12.3332
2010-12-24,12.3459
2010-12-27,12.3653
2010-12-28,12.3567
2010-12-29,12.3571
2010-12-30,12.3817
2010-12-31,12.3496
2011-01-03,12.2574
2011-01-04,12.2619
2011-01-05,12.2064
2011-01-06,12.2256
2011-01-07,12.2369
2011-01-10,12.2542
2011-01-11,12.1907
2011-01-12,12.0757
2011-01-13,12.1028
2011-01-14,12.0871
2011-01-17,12.0299
2011-01-18,12.0261
2011-01-19,12.0744
2011-01-20,12.0903
2011-01-21,12.0482
2011-01-24,12.0516
2011-01-25,12.0856
2011-01-26,12.0408
2011-01-27,12.0239
2011-01-28,12.1214
2011-01-31,12.1519
2011-02-01,12.017
2011-02-02,12.019
2011-02-03,12.0499
2011-02-04,11.9946
2011-02-08,11.9937
2011-02-09,12.0432
2011-02-10,12.0937
2011-02-11,12.0635
2011-02-14,12.0461
2011-02-15,12.114
2011-02-16,12.0957
2011-02-17,12.0483
2011-02-18,12.0172
2011-02-21,12.0558
2011-02-22,12.0917
2011-02-23,12.19
2011-02-24,12.173
2011-02-25,12.1235
2011-02-28,12.1062
2011-03-01,12.0929
2011-03-02,12.0981
2011-03-03,12.0368
2011-03-04,12.0064
2011-03-07,12.017
2011-03-08,12.0254
2011-03-09,11.968
2011-03-10,11.9755
2011-03-11,11.9441
2011-03-14,11.9235
2011-03-15,12.0171
2011-03-16,12.071
2011-03-17,12.0925
2011-03-18,12.0615
2011-03-22,11.9885
2011-03-23,12.0004
2011-03-24,11.9555
2011-03-25,11.9505
2011-03-28,11.959
2011-03-29,11.9678
2011-03-30,11.9219
2011-03-31,11.9084
2011-04-01,11.8412
2011-04-04,11.8533
2011-04-05,11.8322
2011-04-06,11.7836
2011-04-07,11.7931
2011-04-08,11.7421
2011-04-11,11.7447
2011-04-12,11.8266
2011-04-13,11.7907
2011-04-14,11.7679
2011-04-15,11.709
2011-04-18,11.7783
2011-04-19,11.6925
2011-04-20,11.6252
2011-04-25,11.6294
2011-04-26,11.5824
2011-04-27,11.5868
2011-04-28,11.5428
2011-04-29,11.5278
2011-05-02,11.5023
2011-05-03,11.5665
2011-05-04,11.6214
2011-05-05,11.6934
2011-05-06,11.609
2011-05-09,11.641
2011-05-10,11.6009
2011-05-11,11.6075
2011-05-12,11.6656
2011-05-13,11.7219
2011-05-16,11.7094
2011-05-17,11.766
2011-05-18,11.7234
2011-05-19,11.6588
2011-05-20,11.6467
2011-05-23,11.7292
2011-05-24,11.7032
2011-05-25,11.6948
2011-05-26,11.6956
2011-05-27,11.6256
2011-05-30,11.6123
2011-05-31,11.578
2011-06-01,11.6277
2011-06-02,11.6739
2011-06-03,11.6689
2011-06-06,11.6983
2011-06-07,11.7196
2011-06-08,11.8001
2011-06-09,11.7965
2011-06-10,11.8686
2011-06-13,11.868
2011-06-14,11.7982
2011-06-15,11.8751
2011-06-16,11.9591
2011-06-17,11.9006
2011-06-20,11.8916
2011-06-21,11.813
2011-06-22,11.7789
2011-06-23,11.8816
2011-06-24,11.8822
2011-06-27,11.8938
2011-06-28,11.8389
2011-06-29,11.7748
2011-06-30,11.723
2011-07-01,11.6368
2011-07-04,11.5925
2011-07-05,11.6194
2011-07-06,11.6544
2011-07-07,11.5738
2011-07-08,11.6337
2011-07-11,11.7274
2011-07-12,11.7867
2011-07-13,11.717
2011-07-14,11.701
2011-07-15,11.7178
2011-07-18,11.7877
2011-07-19,11.6964
2011-07-20,11.6638
2011-07-21,11.6174
2011-07-22,11.6393
2011-07-25,11.6641
